ID,Please select your age:,Please select your gender:,What is your nationality?,What is your current academic year or level?,What influenced your choice of field of study in Computer Science? ,What are you planning to do after graduation?,Please describe “academic career” in your own words. What do you know about academic career? What comes to your mind?,What do you think are the motivational factors to pursue for an academic career in Computer Science? ,What do you think are the demotivational factors to pursue academic career in Computer Science? ,Do you think there is a gender gap in the IT sector in BiH? ,What are your thoughts on the representation of women in your field:,Are you personally concerned about the presence of gender bias in your potential future work environment?,Which of the following statements best reflects your perception of gender inclusivity in academic environments compared to the industry?
83,21,Female,Bosnian,Junior (third year student),Personal interest;,Find a job in the industry;Continue my graduate studies (master’s);,Academic career is a field of teaching a particular subject,Passion for teaching;,Financial concerns;Stressful work environment;,Yes,Women are underrepresented,No,"In my opinion, academic environments are more gender-friendly than the industry."
84,22,Female,Bosnian,Junior (third year student),Personal interest;Job opportunities;,Find a job in the industry;Continue my graduate studies (master’s);,"It is good position in university, like assistant, professor which you can achieve with good grades and hard work. ",Flexible work environment;Encouragement by the professors;,"Requirements to apply to graduate studies (CGPA, language, etc);Preference for practical experience;",Not sure,Not sure,Not sure, I am not sure or have no specific perception regarding the gender inclusivity.
85,21,Female,Bosnian,Junior (third year student),Job opportunities;,Find a job in the industry;,"Positions in universities, colleges, schools etc.",Interest and confidence in research (academic success);Job opportunities in universities;Encouragement by the professors;,"Requirements to apply to graduate studies (CGPA, language, etc);Lack of information and guidance;Preference for practical experience;",Yes,Women are underrepresented,Not sure,"In my opinion, academic environments are more gender-friendly than the industry."
86,21,Female,Bosnian,Junior (third year student),Personal interest;,Find a job in the industry;Start my own business;Continue my graduate studies (master’s);,Academic career- first things that comes to my mind is masters degree but I dont wish my career path to go to teaching,nothing;,nothing;,Yes,Women are underrepresented,Yes,"In my opinion, academic environments are more gender-friendly than the industry."
87,21,Male,Bosnian,Junior (third year student),Job opportunities;,Start my own business;Find a job in the industry;,.,Passion for teaching;,Stressful work environment;,No,Women are well-represented,No,"In my opinion, academic environments are more gender-friendly than the industry."
88,20,Male,Turkish,Sophomore (second year student),Family influence;Job opportunities;Personal interest;,Find a job in the industry;Start my own business;,i know that i dont want to pursue one,Interest and confidence in research (academic success);Flexible work environment;Encouragement by the professors;,Preference for practical experience;,Not sure,Not sure,No, I am not sure or have no specific perception regarding the gender inclusivity.
89,20,Female,Bosnian,Sophomore (second year student),Personal interest;,Find a job in the industry;,the detrimental process of getting a degree ,Flexible work environment;Interest and confidence in research (academic success);,"Requirements to apply to graduate studies (CGPA, language, etc);Preference for practical experience;",Yes,Women are underrepresented,No, I am not sure or have no specific perception regarding the gender inclusivity.
90,20,Male,Bosnian,Sophomore (second year student),Personal interest;,Continue my graduate studies (master’s);,Academic career means pursuing your own passions through choosing specific classes.,Passion for teaching;,Stressful work environment;,Not sure,Not sure,Yes,"In my opinion, academic environments are more gender-friendly than the industry."
91,20,Female,Bosnian,Sophomore (second year student),Job opportunities;Personal interest;,Find a job in the industry;Continue my graduate studies (master’s);,Teaching in university,Passion for teaching;Social status: prestige and dignity;Interest and confidence in research (academic success);Job opportunities in universities;Flexible work environment;Encouragement by the professors;,Financial concerns;Lack of information and guidance;Preference for practical experience;,Yes,Women are underrepresented,Yes,"In my opinion, academic environments are more gender-friendly than the industry."
92,20,Female,Bosnian,Sophomore (second year student),Personal interest;Job opportunities;,Find a job in the industry;,It represents different job positions at educational instititions in which you have the opportunity to do your own research,Passion for teaching;Interest and confidence in research (academic success);Flexible work environment;Encouragement by the professors;,"Financial concerns;Stressful work environment;Requirements to apply to graduate studies (CGPA, language, etc);Lack of information and guidance;",Yes,Women are underrepresented,Yes,I perceive both academic environments and the industry as not particularly gender-friendly.
93,20,Female,Bosnian,Sophomore (second year student),Personal interest;Job opportunities;,Find a job in the industry;Continue my graduate studies (master’s);,Careers in the education industry.,Passion for teaching;Interest and confidence in research (academic success);Lack of interest in industrial jobs;,Financial concerns;Stressful work environment;,Yes,Women are well-represented,Yes,"In my opinion, academic environments are more gender-friendly than the industry."
94,22,Male,Bosnian,Senior (fourth year student),Personal interest;,Continue my graduate studies (master’s);,"For me academic career means a career where we are professors or tutors responsible for teaching. For me, academic career sounds interesting, especially being a professor, and I would like to become a professor at some point in my career.",Interest and confidence in research (academic success);Passion for teaching;,"Financial concerns;Stressful work environment;Requirements to apply to graduate studies (CGPA, language, etc);",Yes,Women are underrepresented,No,"In my opinion, academic environments are more gender-friendly than the industry."
95,22,Female,Bosnian,Senior (fourth year student),Personal interest;,Continue my graduate studies (master’s);Find a job in the industry;,When I think about an academic career I think about professors and phd students. People who conduct their own research to improve their own field of study.,Job opportunities in universities;Passion for teaching;Interest and confidence in research (academic success);Encouragement by the professors;,"Stressful work environment;Requirements to apply to graduate studies (CGPA, language, etc);Lack of information and guidance;Preference for practical experience;",Yes,Women are underrepresented,No, I am not sure or have no specific perception regarding the gender inclusivity.
96,23,Male,Bosnian,Senior (fourth year student),Personal interest;,Continue my graduate studies (master’s);Find a job in the industry;,It is an exciting field in which a professional needs a broad palette of hard and soft skills in a particular field as well as creativity and inquisitive thinking that enables problem solving.,Passion for teaching;Interest and confidence in research (academic success);Flexible work environment;,"Financial concerns;Requirements to apply to graduate studies (CGPA, language, etc);",Yes,Women are underrepresented,Yes,"In my opinion, academic environments are more gender-friendly than the industry."
97,22,Male,Bosnian,Senior (fourth year student),Personal interest;Job opportunities;,Continue my graduate studies (master’s);I don't know yet;,"I am not as much familiar with academic career as with the industry, but talking with professor, it seems that it has a lot of work but also can be very interesting and enjoying.",Interest and confidence in research (academic success);Encouragement by the professors;Passion for teaching;Lack of interest in industrial jobs;,"Requirements to apply to graduate studies (CGPA, language, etc);Lack of information and guidance;Preference for practical experience;Financial concerns;",Not sure,Not sure,Not sure,"In my opinion, academic environments are more gender-friendly than the industry."
98,22,Male,Bosnian,Senior (fourth year student),Personal interest;,Continue my graduate studies (master’s);Find a job in the industry;,"A career that is focused on research such as writing research papers, being a research assistant, etc. and teaching at universities. What mainly comes to my mind is university professors. ",Passion for teaching;Lack of interest in industrial jobs;,"Financial concerns;Lack of confidence;Requirements to apply to graduate studies (CGPA, language, etc);",No,Women are well-represented,No, I am not sure or have no specific perception regarding the gender inclusivity.
99,22,Female,Bosnian,Senior (fourth year student),Job opportunities;Personal interest;Family influence;,Start my own business;Continue my graduate studies (master’s);,Something that comes to my mind when someone is talking abour academic career is somone’s journey till achieving wanted goal(s) regarding profession and career.,Flexible work environment;,Stressful work environment;,No,Women are well-represented,No, I believe both academic environments and the industry are equally gender-friendly.
100,22,Male,Bosnian,Senior (fourth year student),Personal interest;,Start my own business;Continue my graduate studies (master’s);,"Academic career is a respected by the majority of people since teachers almost always were of a ""higher status"" of people in society. My father is a university professor and I know what I mean by it. I personally find it not to be a part of my personal interest. I like building things and offering them to wider audience.",Passion for teaching;Social status: prestige and dignity;Interest and confidence in research (academic success);Flexible work environment;,"Preference for practical experience;Requirements to apply to graduate studies (CGPA, language, etc);Financial concerns;",No,Women are well-represented,No, I believe both academic environments and the industry are equally gender-friendly.
101,23,Female,Bosnian,Senior (fourth year student),Job opportunities;,Find a job in the industry;,Successfully improving level of knowledge in some particular field or expanding the knowledge to other fields and applying that knowledge to the job,Passion for teaching;Flexible work environment;Encouragement by the professors;Passion for learning more;,Lack of confidence;Lack of information and guidance;To much theory and unneeded stuff during the studying process;Financial concerns;,Not sure,Women are underrepresented,Yes,"In my opinion, academic environments are more gender-friendly than the industry."
102,20,Female,Palestinian ,Junior (third year student),Personal interest;,I don't know yet;,"Being like a researcher and spreading the knowledge that was gain in experience life 
What come to my mind: professors ",Interest and confidence in research (academic success);,Lack of confidence;,Yes,Women are well-represented,No, I am not sure or have no specific perception regarding the gender inclusivity.
103,25+,Male,Bosnian,Senior (fourth year student),Personal interest;Job opportunities;,Find a job in the industry;,"I think that academic career is very interesting path besides getting the job in the industry. In my opinion, in IT industry, academic path after graduating, is the best to go after industry certificates since they become more popular and credited enough to get a job. So, if I were to pursue academic career, I personally would not go after masters or doctor degree and be a professor, rather pursuing well-known certificates in the industry. You can also give lessons or become certified instructor.",Passion for teaching;Interest and confidence in research (academic success);Job opportunities in universities;Lack of interest in industrial jobs;Flexible work environment;,"Lack of information and guidance;Lack of confidence;Stressful work environment;Requirements to apply to graduate studies (CGPA, language, etc);Preference for practical experience;",Not sure,Women are well-represented,No,"In my opinion, academic environments are more gender-friendly than the industry."
104,22,Male,Bosnian,Senior (fourth year student),Job opportunities;Personal interest;Family influence;Reccomendation by friends and teachers;,Find a job in the industry;Continue my graduate studies (master’s);Contribute on open source projects and work on my own personal projects;Become a university professor;,My academic career has been rather tumultuous. My academic performance hasn't been the best which I regret somewhat. However on the more positive side I am fairly satisfied with the knowledge I have gained and new avenues of learning have been opened for me. I believe it would have been impossible for me to do this without the structure for learning that a university provides.,Interest and confidence in research (academic success);Job opportunities in universities;Passion for teaching;Flexible work environment;Ability to work on projects that one finds personally significant with less restraint than in industry. In academia one is not bound by the profit motive and market viability of some research avenue.;,"Financial concerns;Stressful work environment;Requirements to apply to graduate studies (CGPA, language, etc);Preference for practical experience;",Yes,Women are underrepresented,Yes,"In my opinion, academic environments are more gender-friendly than the industry."
105,22,Male,Bosnian,Senior (fourth year student),Personal interest;,Continue my graduate studies (master’s);Find a job in the industry;,"Academic career involves continiuous gaining knowledge in my field of interest, doing researches, contributing to academic communities, obtaining degrees (Bachelor, Master)",Flexible work environment;Lack of interest in industrial jobs;,Financial concerns;Lack of confidence;,Not sure,Women are well-represented,Yes, I believe both academic environments and the industry are equally gender-friendly.
106,23,Female,Bosnian,Senior (fourth year student),Personal interest;,I don't know yet;,Academic career is professional development where a person has an opportunity to share their knowledge and experience with younger individuals and help them prepare for their jobs in industry or future academic careers. They also have opportunities to work on researches in their fields of interest.,Lack of interest in industrial jobs;Job opportunities in universities;Interest and confidence in research (academic success);Passion for teaching;,Preference for practical experience;Financial concerns;,Yes,Women are underrepresented,No, I believe both academic environments and the industry are equally gender-friendly.
107,23,Male,Bosnian,Senior (fourth year student),Job opportunities;,Find a job in the industry;,"Academic career is process of finishimg various level of degrees and parcitipating in academic activities. As far as I know, an academic career requires constant work and progress, so getting a degree is not the end goal.",Interest and confidence in research (academic success);Job opportunities in universities;,Financial concerns;,No,Women are well-represented,Yes, I believe both academic environments and the industry are equally gender-friendly.
108,23,Female,Bosnian,Senior (fourth year student),Personal interest;Job opportunities;,Continue my graduate studies (master’s);Find a job in the industry;,"It is like individual journey. Academic career include education, teaching, research. The desire to achieve the highest quality knowledge that will influence our future and improve our experience",Flexible work environment;Interest and confidence in research (academic success);Lack of interest in industrial jobs;Encouragement by the professors;,"Requirements to apply to graduate studies (CGPA, language, etc);Lack of confidence;",Yes,Women are underrepresented,Not sure,"In my opinion, academic environments are more gender-friendly than the industry."
109,23,Male,Bosnian,Senior (fourth year student),Job opportunities;Personal interest;,Find a job in the industry;Start my own business;,Research based and self improvement of your field ,Passion for teaching;Job opportunities in universities;,Financial concerns;Lack of confidence;,Not sure,Not sure,Not sure, I believe both academic environments and the industry are equally gender-friendly.
110,25+,Male,Bosnian,Junior (third year student),Personal interest;Job opportunities;,Find a job in the industry;Start my own business;,"So far, I only had internship, so I don't have much carrer in that field.",Interest and confidence in research (academic success);Flexible work environment;Encouragement by the professors;,"Requirements to apply to graduate studies (CGPA, language, etc);",No,Women are well-represented,Not sure, I believe both academic environments and the industry are equally gender-friendly.
111,20,Female,Bosnian,Sophomore (second year student),Personal interest;Job opportunities;,Continue my graduate studies (master’s);Become a university professor;,"An academic career refers to a professional path within the educational and research sector, typically pursued by individuals who have a strong interest in scholarly activities, intellectual pursuits, and the advancement of knowledge. This career path involves engaging in academic institutions such as universities or research centers, where individuals undertake teaching, research, and other scholarly activities.
Key components of an academic career include: education and qualifications, teaching, research, publishing, conferences and presentations, professional development, service and administration and tenure and promotion. ",Passion for teaching;Interest and confidence in research (academic success);Job opportunities in universities;Flexible work environment;Encouragement by the professors;,"Stressful work environment;Lack of confidence;Requirements to apply to graduate studies (CGPA, language, etc);Lack of information and guidance;",Yes,Women are underrepresented,Yes,I perceive both academic environments and the industry as not particularly gender-friendly.
